Event	ID	Name			Wwise Object Path	Notes
	120976108	Ambient_Torch			\Ambient\SoundBankSpecific\Dungeon\Ambient_Torch	
	630311347	Object_ActivateKey_Failed			\Objects\SoundBankSpecific\Object_ActivateKey_Failed	
	1205412814	Ambient_Core_HorribleSound			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_HorribleSound	
	1342629461	Ambient_Core_FinalReveal			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_FinalReveal	
	1378810117	Ambient_Core_Shield_1			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_1	
	1378810118	Ambient_Core_Shield_2			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_2	
	1378810119	Ambient_Core_Shield_3			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_3	
	1389069565	Ambient_Core_Shield_Destroyed			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_Destroyed	
	1499503781	Object_ActivateKey_Success			\Objects\SoundBankSpecific\Object_ActivateKey_Success	
	1615265847	Ambient_Core_Shield_Alive			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_Alive	
	1795559212	Object_Coin_Drop			\Objects\SoundBankSpecific\Object_Coin_Drop	
	1999886838	Destruction_Rock_Destroy			\Destruction\RegionSpecific\Destruction_Rock_Destroy	
	2379298625	Door_DLCdoor_Open_Stop			\Objects\SoundBankSpecific\Door_DLCdoor_Open_Stop	
	3556635307	Door_DLCdoor_Open_Play			\Objects\SoundBankSpecific\Door_DLCdoor_Open_Play	
	4077685701	Ambient_Region_Dungeon			\Ambient\SoundBankSpecific\Ambient_Region_Dungeon	
	4275106484	Ambient_Lava			\Ambient\SoundBankSpecific\Dungeon\Ambient_Lava	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3917897988	Distance_to_Player			\Generic\Distance_to_Player	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9581397	Player_Footstep_dirt_walk_01	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_walk_01_0C8DC468.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_walk\Player_Footstep_dirt_walk_01		4318
	25679830	DLC_ActivateKey_Success	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Interface\BAS_DLC_ActivateKey_Success_DDEDB2A8.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Props\Props\DLC_Key\DLC_ActivateKey_Success		13042
	76336562	CoinRoom_End	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Objects\BAS_TempleDoor_Open_B9959844.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Props\Doors\CoinRoom_End		21347
	125579260	Ambient_Core_Shield_Outer	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Ambient\Ambient_Background\BAS_amb_shield_core_LP_01_43A3FBD4.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Outer		27469
	177438976	Player_Footstep_stone_walk_03	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_03_0C8DC468.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_03		1376
	222577091	Ambient_Core_Shield_Destroyed	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Cinematic\BAS_CIN_PinkShield_After_Loop_3B979B3A.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Destroyed		85336
	229536716	Player_Footstep_wood_run_02	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_wood_run_02_0C8DC468.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Wood\Player_Footstep_wood_run\Player_Footstep_wood_run_02		858
	269405603	Ambient_Core_Shield_Middle	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Ambient\Ambient_Background\BAS_amb_shield_core_LP_02_43A3FBD4.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Middle		28772
	283455833	Ambient_Core_Shield_Alive	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Cinematic\BAS_CIN_PinkShield_Before_Loop_EC16C842.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Alive		76345
	339750059	Player_Footstep_dirt_run_01	E:\4. GameAudioProj.4\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_run_01_0C8DC468.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_run\Player_Footstep_dirt_run_01		1870
